excluded_attack,seed,cae_anomaly_recall,unknown_rate,normal_fpr,n_excl_test,n_normal_test
F_I,0,0.2596491228070175,0.11929824561403508,0.09684487291849254,570,6846
F_I,1,0.2596491228070175,0.07719298245614035,0.09684487291849254,570,6846
F_I,2,0.2596491228070175,0.06140350877192982,0.09684487291849254,570,6846
F_I,3,0.2596491228070175,0.05789473684210526,0.09684487291849254,570,6846
F_I,4,0.2596491228070175,0.06491228070175438,0.09684487291849254,570,6846
P_I,0,1.0,0.22231543624161074,0.09684487291849254,1192,6846
P_I,1,1.0,0.05536912751677853,0.09684487291849254,1192,6846
P_I,2,1.0,0.010067114093959731,0.09684487291849254,1192,6846
P_I,3,1.0,0.0041946308724832215,0.09684487291849254,1192,6846
P_I,4,1.0,0.03691275167785235,0.09684487291849254,1192,6846
M_F,0,1.0,0.09836065573770492,0.09684487291849254,793,6846
M_F,1,1.0,0.04791929382093316,0.09684487291849254,793,6846
M_F,2,1.0,0.05926860025220681,0.09684487291849254,793,6846
M_F,3,1.0,0.03026481715006305,0.09684487291849254,793,6846
M_F,4,1.0,0.04665825977301387,0.09684487291849254,793,6846
C_D,0,0.06563421828908554,0.0022123893805309734,0.09684487291849254,1356,6846
C_D,1,0.06563421828908554,0.0022123893805309734,0.09684487291849254,1356,6846
C_D,2,0.06563421828908554,0.0007374631268436578,0.09684487291849254,1356,6846
C_D,3,0.06563421828908554,0.007374631268436578,0.09684487291849254,1356,6846
C_D,4,0.06563421828908554,0.004424778761061947,0.09684487291849254,1356,6846
C_R,0,0.4196151458721291,0.012414649286157667,0.09684487291849254,1611,6846
C_R,1,0.4196151458721291,0.09124767225325885,0.09684487291849254,1611,6846
C_R,2,0.4196151458721291,0.004345127250155183,0.09684487291849254,1611,6846
C_R,3,0.4196151458721291,0.00558659217877095,0.09684487291849254,1611,6846
C_R,4,0.4196151458721291,0.006828057107386716,0.09684487291849254,1611,6846
