seed,class,precision,recall,f1,support
0,Normal,0.8512353018892852,0.9411335086181712,0.8939299340964273,6846.0
0,F_I,0.6107711138310894,0.875438596491228,0.7195385724585436,570.0
0,P_I,0.9769926047658176,0.99748322147651,0.9871315898713159,1192.0
0,M_F,0.9284037558685446,0.9974779319041615,0.9617021276595744,793.0
0,C_D,0.9806451612903225,0.22418879056047197,0.36494597839135656,1356.0
0,C_R,0.9806612601372426,0.9757914338919925,0.9782202862476664,1611.0
1,Normal,0.9776357827476039,0.9386503067484663,0.9577464788732394,6846.0
1,F_I,0.6594663278271918,0.9105263157894737,0.7649226234340457,570.0
1,P_I,1.0,0.9966442953020134,0.9983193277310924,1192.0
1,M_F,0.9188235294117647,0.9848675914249685,0.9506999391357274,793.0
1,C_D,0.9206349206349206,0.9410029498525073,0.9307075127644056,1356.0
1,C_R,0.9936868686868687,0.9770328988206083,0.9852895148669797,1611.0
2,Normal,0.8490175801447777,0.9593923458954133,0.9008366479220957,6846.0
2,F_I,0.758887171561051,0.8614035087719298,0.8069022185702547,570.0
2,P_I,0.9714285714285714,0.9983221476510067,0.9846917666528755,1192.0
2,M_F,1.0,0.9747793190416141,0.9872286079182631,793.0
2,C_D,0.7338501291989664,0.20943952802359883,0.3258749282845668,1356.0
2,C_R,0.99375,0.9869646182495344,0.990345686701962,1611.0
3,Normal,0.8505471443561685,0.8288051416885772,0.8395353998668343,6846.0
3,F_I,0.8271186440677966,0.856140350877193,0.8413793103448276,570.0
3,P_I,0.9966527196652719,0.9991610738255033,0.9979053204859657,1192.0
3,M_F,1.0,0.978562421185372,0.9891650732950924,793.0
3,C_D,0.2879684418145957,0.3230088495575221,0.3044838373305527,1356.0
3,C_R,0.9820433436532507,0.9844816883923029,0.9832610043397396,1611.0
4,Normal,0.8873371827581576,0.9652351738241309,0.9246484293010565,6846.0
4,F_I,0.7591463414634146,0.8736842105263158,0.8123980424143556,570.0
4,P_I,0.9925,0.9991610738255033,0.995819397993311,1192.0
4,M_F,1.0,0.9810844892812106,0.9904519414385742,793.0
4,C_D,0.9518459069020867,0.43731563421828906,0.5992925720060637,1356.0
4,C_R,0.9591346153846154,0.9906890130353817,0.9746564885496183,1611.0
mean,C_D,0.7749889119681784,0.4269911504424779,0.5050609657553891,1356.0
mean,C_R,0.9818552175723955,0.982991930477964,0.9823545961411932,1611.0
mean,F_I,0.7230779197501087,0.8754385964912281,0.7890281534444055,570.0
mean,M_F,0.969445457056062,0.9833543505674653,0.9758495378894463,793.0
mean,Normal,0.8831545983791986,0.9266432953549518,0.9033393780119306,6846.0
mean,P_I,0.9875147791719321,0.9981543624161073,0.9927734805469122,1192.0
std,C_D,0.2888195748123758,0.30148986275913986,0.26553041669126737,0.0
std,C_R,0.014134713533082963,0.006414902884054097,0.006116498812371118,0.0
std,F_I,0.08669913373182778,0.02123459374896528,0.04747672057459984,0.0
std,M_F,0.04197541267911725,0.00870935518276519,0.018389320548600045,0.0
std,Normal,0.055207815959236926,0.05587546937374282,0.04353147485101071,0.0
std,P_I,0.012586871693209663,0.0010938259069131829,0.006393646164378091,0.0
