seed,class,precision,recall,f1,support
0,Normal,0.9577151335311572,0.9428863569967865,0.9502428970999558,6846.0
0,F_I,0.7404129793510325,0.8807017543859649,0.8044871794871795,570.0
0,P_I,0.943695479777954,0.9983221476510067,0.9702405218100285,1192.0
0,M_F,0.9987146529562982,0.9798234552332913,0.9891788669637174,793.0
0,C_D,0.879601226993865,0.8458702064896755,0.862406015037594,1356.0
0,C_R,0.9919103920348475,0.9894475481067659,0.9906774394033562,1611.0
1,Normal,0.9570802478464561,0.925065731814198,0.9408007130654386,6846.0
1,F_I,0.7684563758389261,0.8035087719298246,0.7855917667238422,570.0
1,P_I,0.9628132578819725,0.9991610738255033,0.9806504734458625,1192.0
1,M_F,0.9078341013824884,0.9936948297604036,0.9488260084286574,793.0
1,C_D,0.8068111455108359,0.9609144542772862,0.877145742174352,1356.0
1,C_R,0.9993031358885017,0.8901303538175046,0.9415627051871307,1611.0
2,Normal,0.8309184830540507,0.9633362547472977,0.8922410877359128,6846.0
2,F_I,0.6934097421203438,0.8491228070175438,0.7634069400630915,570.0
2,P_I,0.9667207792207793,0.9991610738255033,0.9826732673267327,1192.0
2,M_F,1.0,0.9823455233291298,0.9910941475826972,793.0
2,C_D,0.9180327868852459,0.08259587020648967,0.15155615696887687,1356.0
2,C_R,0.99,0.9832402234636871,0.9866085331672376,1611.0
3,Normal,0.9474662947466295,0.8930762489044698,0.9194676291450485,6846.0
3,F_I,0.7035398230088495,0.8368421052631579,0.7644230769230769,570.0
3,P_I,0.99,0.9966442953020134,0.9933110367892977,1192.0
3,M_F,1.0,0.9798234552332913,0.9898089171974522,793.0
3,C_D,0.689922480620155,0.7876106194690266,0.7355371900826446,1356.0
3,C_R,0.923481308411215,0.9813780260707635,0.9515498043936202,1611.0
4,Normal,0.9617210682492582,0.9468302658486708,0.9542175769174149,6846.0
4,F_I,0.6041923551171393,0.8596491228070176,0.7096307023895728,570.0
4,P_I,0.995819397993311,0.9991610738255033,0.9974874371859297,1192.0
4,M_F,0.9825436408977556,0.9936948297604036,0.9880877742946709,793.0
4,C_D,0.9899749373433584,0.8738938053097345,0.9283196239717979,1356.0
4,C_R,0.9784217016029593,0.9851024208566108,0.9817506959480359,1611.0
mean,C_D,0.856868515470692,0.7101769911504425,0.7109929456470531,1356.0
mean,C_R,0.9766233075875046,0.9658597144630663,0.9704298356198761,1611.0
mean,F_I,0.7020022550872582,0.8459649122807018,0.7655079331173525,570.0
mean,M_F,0.9778184790473083,0.9858764186633039,0.981399142893439,793.0
mean,Normal,0.9309802454855103,0.9342389716622845,0.9313939807927542,6846.0
mean,P_I,0.9718097829748034,0.9984899328859059,0.9848725473115703,1192.0
std,C_D,0.1144026689529443,0.35634924915828775,0.32067721112874487,0.0
std,C_R,0.03063621941448147,0.04243967423711806,0.022302715027531016,0.0
std,F_I,0.06231874884356578,0.02867763753221405,0.0355337797682525,0.0
std,M_F,0.03981466469540215,0.007211086232280382,0.018241356893479263,0.0
std,Normal,0.056180754416830146,0.02673241440409058,0.025689840873449738,0.0
std,P_I,0.02124026292186302,0.0010938259069132176,0.010806276667577271,0.0
